CountryName,Date,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients_per_million,hosp_patients_per_million,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,population_density,median_age,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,population,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6M_Facial Coverings,H8M_Protection of elderly people,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
Brazil,20200804,12696.264,208.723,437.056,4.711,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,72.69,65.1,67.26,50
Brazil,20200805,12773.551,204.315,439.661,4.676,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,72.69,65.1,67.26,50
Brazil,20200806,13013.215,211.472,445.021,4.83,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,355943708,0,4,1,72.69,65.1,67.26,50
Brazil,20200807,13278.652,203.562,451.695,4.725,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,72.69,65.1,67.26,50
Brazil,20200808,13525.45,200.445,457.44,4.797,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,72.69,65.1,67.26,50
Brazil,20200809,13758.738,199.017,462.451,4.709,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,72.69,65.1,67.26,50
Brazil,20200810,13990.818,202.054,466.654,4.587,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,72.69,65.1,67.26,50
Brazil,20200811,14097.685,200.203,469.311,4.608,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,72.69,65.1,67.26,50
Brazil,20200812,14200.085,203.791,472.576,4.702,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,72.69,65.1,67.26,50
Brazil,20200813,14442.336,204.16,478.493,4.782,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,72.69,65.1,67.26,50
Brazil,20200814,14698.497,202.835,483.95,4.608,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,72.69,65.1,67.26,50
Brazil,20200815,14977.584,207.448,489.811,4.624,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,63.54,65.48,50
Brazil,20200816,15212.794,207.722,494.734,4.612,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,63.54,65.48,50
Brazil,20200817,15405.889,202.153,498.027,4.482,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,63.54,65.48,50
Brazil,20200818,15513.179,202.213,500.907,4.514,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,63.54,65.48,50
Brazil,20200819,15603.155,200.439,504.084,4.501,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,64.32,66.37,50
Brazil,20200820,15825.083,197.535,510.363,4.553,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,64.32,66.37,50
Brazil,20200821,16054.042,193.649,515.992,4.577,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,64.32,66.37,50
Brazil,20200822,16264.54,183.851,521.584,4.539,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,64.32,66.37,50
Brazil,20200823,16405.52,170.389,526.479,4.535,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,2,2,1,1,1,0,0,2,2,2,0,0,4,1,69.91,64.32,66.37,50
Brazil,20200824,16637.888,176,530.622,4.656,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,3,2,1,1,1,0,0,2,2,2,0,0,4,1,73.61,66.41,68.75,50
Brazil,20200825,16746.664,176.212,532.916,4.573,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,3,2,1,1,1,0,0,2,2,2,0,0,4,1,73.61,66.41,68.75,50
Brazil,20200826,16825.981,174.689,535.54,4.494,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,3,2,1,1,1,0,0,2,2,2,0,0,4,1,73.61,66.41,68.75,50
Brazil,20200827,17044.89,174.258,541.443,4.44,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,3,2,1,1,1,0,0,2,2,2,0,0,4,1,73.61,66.41,68.75,50
Brazil,20200828,17263.924,172.84,546.482,4.356,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,3,2,1,1,1,0,0,2,2,2,0,0,4,1,73.61,66.41,68.75,50
Brazil,20200829,17469.369,172.118,551.052,4.21,,,,,,,,25.04,33.5,3.4,177.961,8.11,10.1,17.9,2.2,215313504,3,3,2,4,2,3,2,1,1,1,0,0,2,2,2,0,0,4,1,73.61,66.41,68.75,50
